step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
472,CASH_OUT,75905.05,C1744336679,0.0,0.0,C1615019152,462478.81,538383.87,0,0
472,CASH_OUT,50969.04,C1224792507,0.0,0.0,C1778688595,127048.31,178017.35,0,0
472,CASH_OUT,52025.22,C1985917747,0.0,0.0,C540594646,941252.38,993277.59,0,0
472,CASH_OUT,79083.81,C1112930928,0.0,0.0,C1885737489,6668814.43,6747898.24,0,0
472,CASH_OUT,168637.12,C1714486354,0.0,0.0,C1924891893,294826.51,463463.63,0,0
472,CASH_OUT,292499.71,C691158062,0.0,0.0,C411590571,4905355.59,5197855.3,0,0
472,CASH_OUT,111048.01,C720815376,0.0,0.0,C351076375,301266.42,412314.43,0,0
472,CASH_OUT,183007.54,C1201482820,0.0,0.0,C1265077420,356790.62,539798.16,0,0
472,CASH_OUT,148516.65,C648977033,0.0,0.0,C1603556480,382109.3,530625.95,0,0
472,CASH_OUT,161026.48,C507842878,0.0,0.0,C84658683,2024395.42,2185421.9,0,0
472,CASH_OUT,53435.94,C42441123,0.0,0.0,C1943761542,298361.07,351797.02,0,0
472,CASH_OUT,200683.25,C752253627,0.0,0.0,C203141818,1409020.6,1609703.85,0,0
472,CASH_OUT,99224.43,C2122241914,0.0,0.0,C887738184,642211.62,741436.04,0,0
472,TRANSFER,458880.37,C1208280426,4874.0,0.0,C1762572349,322.17,459202.53,0,0
472,CASH_OUT,133458.43,C1995450184,0.0,0.0,C778493702,978085.22,1111543.65,0,0
472,PAYMENT,10442.29,C1768724623,104686.0,94243.71,M1637963743,0.0,0.0,0,0
472,PAYMENT,120495.53,C249676084,11575.0,0.0,M2036100551,0.0,0.0,0,0
472,DEBIT,364.98,C1962486403,20664.0,20299.02,C662787209,12930976.13,12931341.11,0,0
472,TRANSFER,586801.3,C2045012639,586801.3,0.0,C529372268,0.0,0.0,1,0
472,CASH_OUT,586801.3,C951521494,586801.3,0.0,C2063022949,217402.84,804204.13,1,0
472,CASH_IN,507824.23,C1764479390,23039.0,530863.23,C341754455,0.0,0.0,0,0
472,CASH_OUT,503681.15,C1423913269,111256.0,0.0,C758856955,0.0,503681.15,0,0
472,PAYMENT,21189.89,C246745507,650425.0,629235.11,M243570947,0.0,0.0,0,0
472,TRANSFER,2739869.62,C957619820,2739869.62,0.0,C1424435329,0.0,0.0,1,0
472,CASH_OUT,2739869.62,C342873826,2739869.62,0.0,C1459518542,0.0,2739869.62,1,0
472,CASH_OUT,127374.64,C842087901,100541.0,0.0,C1780781867,97565.56,224940.2,0,0
472,CASH_OUT,193191.11,C408413721,19739.0,0.0,C1853469053,10940801.86,11133992.98,0,0
472,CASH_IN,251088.1,C19491841,15403.0,266491.1,C1707554383,1417166.6,1166078.49,0,0
472,CASH_OUT,312797.85,C1805349376,126644.0,0.0,C1040427536,29856.1,342653.96,0,0
472,PAYMENT,9841.94,C1350530427,0.0,0.0,M2000631363,0.0,0.0,0,0
472,CASH_OUT,279504.74,C1027347905,219860.0,0.0,C545327992,2924653.61,3204158.35,0,0
472,PAYMENT,4159.48,C226978580,0.0,0.0,M653788018,0.0,0.0,0,0
472,CASH_OUT,29020.17,C687580352,196361.0,167340.83,C1164907406,46448.92,75469.09,0,0
472,CASH_OUT,391002.64,C1974746627,167340.83,0.0,C1508196979,2069111.34,2460113.98,0,0
472,CASH_OUT,367839.87,C1138566250,157758.0,0.0,C823771840,2297303.59,2665143.46,0,0
472,PAYMENT,8626.3,C634932464,0.0,0.0,M1349529903,0.0,0.0,0,0
472,PAYMENT,20144.52,C81811716,200202.0,180057.48,M775209862,0.0,0.0,0,0
472,CASH_IN,123625.67,C1231857020,10321.0,133946.67,C446927103,546495.85,422870.18,0,0
472,CASH_IN,97213.79,C407116855,63423.0,160636.79,C248375047,923279.92,826066.13,0,0
472,PAYMENT,26633.88,C518676034,126844.0,100210.12,M382371562,0.0,0.0,0,0
472,PAYMENT,8255.65,C983664138,100210.12,91954.47,M45908173,0.0,0.0,0,0
472,TRANSFER,346796.01,C1323878038,1650.0,0.0,C266355622,417944.06,764740.07,0,0
472,CASH_OUT,181681.99,C207090807,421.0,0.0,C1992905730,311398.36,493080.35,0,0
472,CASH_IN,138859.21,C988848673,746.0,139605.21,C1834701727,126469.69,0.0,0,0
472,PAYMENT,24262.5,C1546446682,20391.0,0.0,M1417172543,0.0,0.0,0,0
472,PAYMENT,1044.05,C1740629131,0.0,0.0,M1482793975,0.0,0.0,0,0
472,TRANSFER,636554.0,C1674348950,357.0,0.0,C819254583,0.0,636554.0,0,0
472,PAYMENT,92708.58,C1972630142,2210.0,0.0,M1838210043,0.0,0.0,0,0
472,TRANSFER,653983.93,C951821221,653983.93,0.0,C1535144828,0.0,0.0,1,0
472,CASH_OUT,653983.93,C1069288733,653983.93,0.0,C1731869105,659112.38,1313096.31,1,0
472,TRANSFER,63440.63,C1431701654,63440.63,0.0,C906449417,0.0,0.0,1,0
472,CASH_OUT,63440.63,C1047682756,63440.63,0.0,C1400720500,26850.23,90290.87,1,0
472,PAYMENT,103709.09,C1538352164,10671.0,0.0,M79318698,0.0,0.0,0,0
472,TRANSFER,2744306.06,C1640883219,0.0,0.0,C836423289,4017025.75,6761331.81,0,0
472,TRANSFER,570358.63,C1298469520,0.0,0.0,C1749039853,2417114.86,2987473.49,0,0
472,TRANSFER,109601.05,C497405788,0.0,0.0,C1075008583,307397.92,416998.97,0,0
472,TRANSFER,398865.28,C1270619484,0.0,0.0,C618711939,11310245.01,11709110.29,0,0
472,TRANSFER,14854169.86,C1163892036,0.0,0.0,C1511142890,139365591.52,154219761.38,0,0
472,TRANSFER,1726601.75,C550235885,0.0,0.0,C267089577,2464821.45,4191423.2,0,0
472,TRANSFER,1164972.93,C321325703,0.0,0.0,C229633604,12449828.07,13614800.99,0,0
472,TRANSFER,43777.52,C945468226,0.0,0.0,C2036106967,163433.56,207211.08,0,0
472,TRANSFER,1198858.86,C26666168,0.0,0.0,C290555266,3345454.9,4544313.77,0,0
472,TRANSFER,101721.41,C2127941345,0.0,0.0,C1591151242,814071.54,915792.95,0,0
472,TRANSFER,212789.55,C1426948238,0.0,0.0,C336549055,8714923.55,8927713.1,0,0
472,TRANSFER,203267.76,C950073806,0.0,0.0,C10515411,2879268.53,3082536.29,0,0
472,TRANSFER,556395.8,C237336902,0.0,0.0,C592205279,1561911.0,2118306.8,0,0
472,TRANSFER,101445.4,C1582763173,0.0,0.0,C966248404,280764.69,382210.09,0,0
472,TRANSFER,242117.5,C1743257105,0.0,0.0,C2051226271,459589.67,701707.18,0,0
472,TRANSFER,465723.85,C1479935402,0.0,0.0,C1486654808,895115.92,1360839.77,0,0
472,TRANSFER,3367353.36,C2105321635,0.0,0.0,C821758097,18670192.56,22037545.92,0,0
472,TRANSFER,1872542.78,C464036237,0.0,0.0,C945678918,4192344.55,6064887.32,0,0
472,TRANSFER,3316080.32,C1130873759,0.0,0.0,C1916720513,23158183.38,26474263.71,0,0
473,TRANSFER,70239.81,C731157772,70239.81,0.0,C182956313,0.0,0.0,1,0
473,CASH_OUT,70239.81,C867506541,70239.81,0.0,C1424690592,255444.42,325684.23,1,0
473,TRANSFER,417620.07,C1833923167,417620.07,0.0,C2045180381,0.0,0.0,1,0
473,CASH_OUT,417620.07,C281624402,417620.07,0.0,C197249105,0.0,417620.07,1,0
473,TRANSFER,36996.83,C528147634,36996.83,0.0,C1140712757,0.0,0.0,1,0
473,CASH_OUT,36996.83,C77588545,36996.83,0.0,C826538510,729398.84,766395.67,1,0
473,TRANSFER,179700.14,C307539719,179700.14,0.0,C434694643,0.0,0.0,1,0
473,CASH_OUT,179700.14,C1270751664,179700.14,0.0,C1991324873,1792.34,181492.48,1,0
473,TRANSFER,7009.93,C53019393,7009.93,0.0,C304768770,0.0,0.0,1,0
473,CASH_OUT,7009.93,C2022649541,7009.93,0.0,C239424906,0.0,7009.93,1,0
474,CASH_OUT,140998.75,C1518579902,50603.0,0.0,C1789989389,2194558.03,2335556.77,0,0
474,CASH_OUT,540346.48,C374401923,644.0,0.0,C138964543,396813.71,937160.19,0,0
474,CASH_IN,165125.42,C1785060575,1271.0,166396.42,C893530553,56404.54,0.0,0,0
474,PAYMENT,4132.64,C1890150867,166396.42,162263.78,M937959736,0.0,0.0,0,0
474,CASH_IN,54137.05,C645257397,60048.0,114185.05,C1850364217,0.0,0.0,0,0
474,CASH_OUT,137895.27,C1655860096,142413.0,4517.73,C950887140,0.0,137895.27,0,0
474,PAYMENT,4337.52,C1500406260,58.0,0.0,M804878848,0.0,0.0,0,0
474,PAYMENT,10471.13,C658616122,0.0,0.0,M1457405497,0.0,0.0,0,0
474,CASH_OUT,4550.85,C2081785047,18586.0,14035.15,C2001260702,201894.58,206445.43,0,0
474,CASH_OUT,351108.17,C408475695,222.0,0.0,C1480725235,1626978.77,1978086.94,0,0
474,CASH_OUT,118892.26,C852139105,71524.0,0.0,C1171812435,0.0,118892.26,0,0
474,PAYMENT,8361.12,C365057015,11243.0,2881.88,M1159810724,0.0,0.0,0,0
474,CASH_IN,99932.84,C459702159,558.0,100490.84,C960904457,0.0,0.0,0,0
474,PAYMENT,12154.62,C2108281110,245120.0,232965.38,M2054383807,0.0,0.0,0,0
474,CASH_IN,53567.37,C896027963,39085.0,92652.37,C301412854,0.0,0.0,0,0
474,CASH_IN,125083.17,C492488222,82073.0,207156.17,C442873240,42514.01,0.0,0,0
474,CASH_OUT,96366.33,C776504770,207156.17,110789.84,C1055968124,881125.03,977491.36,0,0
474,CASH_OUT,384505.78,C1327441444,20596.0,0.0,C1987453010,119442.5,503948.28,0,0
474,CASH_IN,202457.1,C954841961,45.0,202502.1,C2021355793,524.51,0.0,0,0
474,PAYMENT,2010.69,C1934159964,202502.1,200491.41,M423890274,0.0,0.0,0,0
474,PAYMENT,4922.05,C802956904,200491.41,195569.36,M1511780873,0.0,0.0,0,0
474,CASH_IN,124995.24,C1860510470,10482.0,135477.24,C2095522885,13072.58,0.0,0,0
474,TRANSFER,1972540.07,C1475550373,100424.0,0.0,C1864096416,0.0,1972540.07,0,0
474,PAYMENT,4218.31,C424845141,0.0,0.0,M475835852,0.0,0.0,0,0
474,CASH_IN,312410.01,C1541820498,55400.0,367810.01,C2013775214,112078.37,0.0,0,0
474,CASH_OUT,233166.44,C339700159,367810.01,134643.57,C8558147,568622.4,801788.84,0,0
474,PAYMENT,9321.73,C421196890,4379.0,0.0,M1615927416,0.0,0.0,0,0
474,CASH_OUT,85314.61,C165454048,0.0,0.0,C1423956695,10415363.69,10500678.3,0,0
474,CASH_OUT,250285.27,C1715553013,0.0,0.0,C693993617,836483.04,1086768.31,0,0
474,PAYMENT,5528.7,C683131459,50898.0,45369.3,M1078828533,0.0,0.0,0,0
474,TRANSFER,18742.8,C746258108,45369.3,26626.5,C508918731,1359894.46,1378637.27,0,0
474,TRANSFER,886368.88,C1086342956,26626.5,0.0,C799483884,2031610.48,2917979.36,0,0
474,CASH_OUT,107071.65,C1450385581,10468.0,0.0,C264173215,7526555.79,7633627.44,0,0
474,CASH_IN,338040.27,C2055056803,31307.0,369347.27,C114203762,71527.2,0.0,0,0
474,CASH_OUT,411520.89,C17380174,20101.0,0.0,C2056074886,66120.56,477641.46,0,0
474,CASH_IN,314001.89,C1127415140,30361.0,344362.89,C1686766678,6742836.2,6428834.32,0,0
474,CASH_OUT,42895.86,C202099687,622428.0,579532.14,C909138179,7108393.48,7151289.33,0,0
474,CASH_OUT,226678.98,C462188400,100433.0,0.0,C1800871855,121734.73,348413.72,0,0
474,PAYMENT,9482.61,C1406643212,11432.0,1949.39,M131769039,0.0,0.0,0,0
474,PAYMENT,7170.91,C1440486688,1949.39,0.0,M768808708,0.0,0.0,0,0
474,PAYMENT,2672.53,C1133144446,0.0,0.0,M286549786,0.0,0.0,0,0
474,CASH_IN,127501.13,C609490189,28315.0,155816.13,C1316768312,28169.94,0.0,0,0
474,CASH_OUT,555462.3,C294280628,62262.0,0.0,C1488581360,397294.1,952756.4,0,0
474,PAYMENT,7558.3,C31131490,43034.0,35475.7,M868584692,0.0,0.0,0,0
474,PAYMENT,3349.01,C926751740,13454.0,10104.99,M1947834194,0.0,0.0,0,0
474,PAYMENT,1370.62,C765492900,10104.99,8734.37,M849208776,0.0,0.0,0,0
474,CASH_OUT,88866.7,C1830877852,21568.0,0.0,C1242649349,398950.52,487817.21,0,0
474,PAYMENT,10849.52,C1438339949,0.0,0.0,M2067812896,0.0,0.0,0,0
474,PAYMENT,16716.33,C640572197,0.0,0.0,M1286648166,0.0,0.0,0,0
474,PAYMENT,38671.79,C1126146982,0.0,0.0,M976697527,0.0,0.0,0,0
474,PAYMENT,14820.93,C1855241127,0.0,0.0,M660999314,0.0,0.0,0,0
474,PAYMENT,11471.16,C425363787,0.0,0.0,M439085143,0.0,0.0,0,0
474,PAYMENT,14021.59,C1370038582,0.0,0.0,M1178379533,0.0,0.0,0,0
474,PAYMENT,13208.04,C190934096,0.0,0.0,M1313690683,0.0,0.0,0,0
474,PAYMENT,11215.1,C1450536021,0.0,0.0,M1975693147,0.0,0.0,0,0
474,PAYMENT,10268.86,C1975602783,0.0,0.0,M1359552592,0.0,0.0,0,0
474,PAYMENT,17672.65,C744749536,0.0,0.0,M1287336768,0.0,0.0,0,0
474,PAYMENT,1006.01,C863452990,256039.0,255032.99,M728011424,0.0,0.0,0,0
474,TRANSFER,908525.64,C419152597,216709.0,0.0,C1726899107,0.0,908525.64,0,0
474,PAYMENT,15446.19,C223335353,0.0,0.0,M122389473,0.0,0.0,0,0
474,CASH_IN,172446.84,C146137146,203303.0,375749.84,C1402876659,161318.14,0.0,0,0
474,PAYMENT,5089.48,C1319003795,99817.0,94727.52,M1035974370,0.0,0.0,0,0
474,CASH_OUT,42425.85,C1722838591,30547.0,0.0,C842741559,269413.41,311839.26,0,0
474,PAYMENT,9792.96,C1101260515,0.0,0.0,M2083826362,0.0,0.0,0,0
474,CASH_OUT,60374.71,C1023155064,10845.0,0.0,C402251473,158539.54,218914.25,0,0
474,CASH_IN,473959.16,C1507347278,26118.0,500077.16,C1160625010,291756.13,0.0,0,0
474,CASH_OUT,395424.94,C127023720,24406.0,0.0,C382270844,0.0,395424.94,0,0
474,CASH_OUT,278243.54,C1588207962,98998.0,0.0,C311568359,0.0,278243.54,0,0
474,CASH_IN,35336.4,C38917676,42326.0,77662.4,C60235238,154447.89,119111.49,0,0
474,PAYMENT,2983.14,C432570131,507.0,0.0,M253712184,0.0,0.0,0,0
474,CASH_OUT,55009.93,C11536240,23138.0,0.0,C1151913285,81612.16,136622.09,0,0
474,TRANSFER,511163.75,C207376892,11402.0,0.0,C1988100505,0.0,511163.75,0,0
474,PAYMENT,5878.66,C1454802819,20799.0,14920.34,M602254586,0.0,0.0,0,0
474,PAYMENT,4279.34,C602842225,104306.0,100026.66,M1305727553,0.0,0.0,0,0
474,CASH_IN,168536.52,C792448743,767.0,169303.52,C546331947,36152.38,0.0,0,0
474,CASH_OUT,295589.54,C565654918,169303.52,0.0,C713618027,1596385.34,1891974.89,0,0
474,PAYMENT,1785.76,C2007814381,42767.0,40981.24,M608064899,0.0,0.0,0,0
474,CASH_OUT,196443.56,C1434708757,104643.0,0.0,C1556188185,262536.27,458979.83,0,0
474,CASH_OUT,176022.69,C1291906854,1569.0,0.0,C1064970255,2455204.12,2631226.81,0,0
474,DEBIT,1880.16,C1555723731,31215.0,29334.84,C1860429250,19300.47,21180.63,0,0
474,CASH_OUT,165490.44,C184463754,152.0,0.0,C1332207390,17448.45,182938.89,0,0
474,CASH_IN,360412.92,C1089415299,312.0,360724.92,C1630427516,243589.0,0.0,0,0
474,CASH_OUT,76224.36,C182228583,18719.0,0.0,C1894204011,413419.02,489643.38,0,0
474,PAYMENT,440.0,C96960002,0.0,0.0,M2051734993,0.0,0.0,0,0
474,CASH_IN,456818.44,C1129867563,5028.0,461846.44,C436557504,70958.34,0.0,0,0
474,TRANSFER,1009708.33,C760852617,461846.44,0.0,C512060762,3145849.27,4155557.6,0,0
474,TRANSFER,375953.77,C332463182,0.0,0.0,C1332389972,1590224.17,1966177.94,0,0
474,TRANSFER,687311.0,C1046032272,0.0,0.0,C1389160230,2079487.17,2766798.17,0,0
474,TRANSFER,9986.94,C1044908097,0.0,0.0,C1235165159,103876.96,113863.89,0,0
474,TRANSFER,1651971.74,C1593125625,0.0,0.0,C1999242969,1974626.08,3626597.82,0,0
474,TRANSFER,208603.0,C1246994405,0.0,0.0,C1589347702,2371007.59,2579610.6,0,0
474,TRANSFER,137956.81,C1031867536,0.0,0.0,C608836494,1126295.82,1264252.64,0,0
474,TRANSFER,587810.97,C1140130145,0.0,0.0,C761008998,1299390.4,1887201.38,0,0
474,TRANSFER,1512699.73,C882919684,0.0,0.0,C1005563463,3146319.85,4659019.58,0,0
474,TRANSFER,457060.72,C1650083010,0.0,0.0,C1751423049,2163154.49,2620215.21,0,0
474,TRANSFER,131305.85,C1468674453,0.0,0.0,C816662734,396899.11,528204.95,0,0
474,TRANSFER,753224.09,C1017109516,0.0,0.0,C1766999256,3196472.3,3949696.39,0,0
474,TRANSFER,212525.68,C180443890,0.0,0.0,C367987636,1629311.04,1841836.72,0,0
474,TRANSFER,165.14,C982344508,0.0,0.0,C1350429963,88363.83,88528.97,0,0
474,TRANSFER,331931.44,C1007545185,0.0,0.0,C1198891180,1763622.34,2095553.78,0,0
474,CASH_OUT,83501.75,C2125475664,21276.0,0.0,C228666315,0.0,83501.75,0,0
474,CASH_IN,24436.57,C2116480190,0.0,24436.57,C913812845,681590.81,657154.24,0,0
474,CASH_IN,36696.3,C795079877,24436.57,61132.87,C1460687172,474014.15,437317.85,0,0
474,CASH_IN,86347.42,C2087081131,61132.87,147480.29,C1982161065,1062610.19,976262.77,0,0
474,CASH_IN,214246.23,C64171736,147480.29,361726.52,C217884273,477369.16,263122.94,0,0
474,CASH_IN,16070.17,C1255760128,361726.52,377796.69,C779757917,548228.04,532157.86,0,0
474,CASH_IN,95484.55,C2058117442,377796.69,473281.24,C160651779,1302725.34,1207240.79,0,0
474,CASH_IN,76198.56,C883007920,473281.24,549479.8,C2011583057,206418.9,130220.34,0,0
474,CASH_IN,101700.31,C773782546,549479.8,651180.11,C825401130,604003.42,502303.11,0,0
474,CASH_IN,337277.32,C802052528,651180.11,988457.43,C2104202473,920621.28,583343.96,0,0
474,CASH_IN,126759.17,C913415034,988457.43,1115216.6,C1894759507,2451739.55,2324980.38,0,0
474,CASH_IN,254106.09,C258211877,1115216.6,1369322.69,C1430994246,887814.73,633708.64,0,0
474,CASH_IN,132565.84,C1455657911,1369322.69,1501888.53,C79931133,204030.2,71464.36,0,0
474,CASH_IN,212171.25,C186467078,1501888.53,1714059.78,C314851195,794275.01,582103.76,0,0
474,CASH_IN,207643.9,C831370068,1714059.78,1921703.68,C2116539150,210910.83,3266.93,0,0
474,CASH_IN,63971.81,C516417640,1921703.68,1985675.49,C485644701,6505996.4,6442024.59,0,0
474,CASH_IN,197078.37,C1423150636,1985675.49,2182753.86,C19028017,486614.01,289535.64,0,0
474,CASH_IN,227558.72,C901243587,2182753.86,2410312.58,C233240180,297254.02,69695.3,0,0
474,CASH_IN,228944.59,C1769795634,2410312.58,2639257.16,C699508936,326252.02,97307.44,0,0
474,CASH_IN,220217.07,C1213845981,2639257.16,2859474.23,C1388283017,221904.03,1686.96,0,0
474,CASH_IN,100613.6,C11764756,2859474.23,2960087.83,C1537631072,642550.19,541936.59,0,0
474,CASH_IN,78903.29,C169398075,2960087.83,3038991.12,C465580873,1778889.29,1699986.0,0,0
474,CASH_IN,35486.02,C74138410,3038991.12,3074477.14,C191893806,158909.22,123423.21,0,0
474,CASH_IN,122137.64,C45788483,3074477.14,3196614.77,C473861830,735271.75,613134.12,0,0
474,CASH_IN,9651.0,C506796580,3196614.77,3206265.78,C995569462,50570.23,40919.23,0,0
474,CASH_IN,42418.2,C1377333198,3206265.78,3248683.97,C928839008,1315882.53,1273464.33,0,0
474,CASH_IN,204709.62,C204735668,3248683.97,3453393.59,C595514865,1688887.35,1484177.73,0,0
474,CASH_IN,90818.33,C1530093764,3453393.59,3544211.93,C802038527,456048.11,365229.78,0,0
474,CASH_IN,127622.42,C1835115964,3544211.93,3671834.35,C277992495,820374.66,692752.24,0,0
474,CASH_IN,130687.7,C2090258881,3671834.35,3802522.05,C701424203,610696.01,480008.31,0,0
474,CASH_IN,244982.99,C1345026883,3802522.05,4047505.04,C2102130156,4291563.06,4046580.07,0,0
474,CASH_IN,371507.19,C274597058,4047505.04,4419012.23,C1686978048,5424332.07,5052824.88,0,0
474,CASH_IN,14407.2,C1886523184,4419012.23,4433419.43,C254214048,5584020.6,5569613.4,0,0
474,CASH_IN,52979.97,C975224870,4433419.43,4486399.4,C1796831469,3097135.44,3044155.47,0,0
474,CASH_IN,54487.83,C836392258,4486399.4,4540887.23,C2028302643,304827.12,250339.28,0,0
474,CASH_IN,55859.58,C1363296175,4540887.23,4596746.82,C2073412480,4091970.4,4036110.82,0,0
474,CASH_IN,181064.84,C833200440,4596746.82,4777811.65,C721849258,494547.09,313482.26,0,0
474,CASH_IN,425438.95,C229930715,4777811.65,5203250.6,C1172712164,1787139.39,1361700.44,0,0
474,CASH_IN,194920.61,C1848066666,5203250.6,5398171.21,C1854135945,317848.56,122927.96,0,0
474,CASH_IN,81612.53,C777561926,5398171.21,5479783.74,C2103539797,81620.68,8.15,0,0
474,CASH_IN,72747.37,C1384408020,5479783.74,5552531.1,C971215326,820199.01,747451.65,0,0
474,CASH_IN,331829.39,C2083046897,5552531.1,5884360.5,C1141569880,812006.84,480177.45,0,0
474,CASH_IN,59759.89,C684260364,5884360.5,5944120.39,C1291259784,224401.59,164641.69,0,0
474,CASH_IN,164570.2,C1128336580,5944120.39,6108690.59,C570927863,1124939.51,960369.31,0,0
474,CASH_IN,236178.24,C850021819,6108690.59,6344868.83,C1215771677,2309050.47,2072872.23,0,0
474,CASH_IN,122292.56,C135729490,6344868.83,6467161.39,C1497039219,450802.41,328509.85,0,0
474,CASH_IN,12596.14,C1733338304,6467161.39,6479757.53,C197868759,1215997.74,1203401.6,0,0
474,CASH_IN,49275.82,C750560194,6479757.53,6529033.35,C499930926,1161053.07,1111777.25,0,0
474,CASH_IN,239221.64,C1285284987,6529033.35,6768254.98,C575162587,1521959.22,1282737.59,0,0
474,CASH_IN,359111.2,C2092364091,6768254.98,7127366.18,C354668375,2613483.92,2254372.72,0,0
474,CASH_IN,105530.05,C505560265,7127366.18,7232896.23,C1622943988,11289158.01,11183627.96,0,0
474,CASH_IN,142293.49,C1472802428,7232896.23,7375189.72,C159032815,5082242.78,4939949.29,0,0
474,CASH_IN,121946.52,C1155702978,7375189.72,7497136.24,C1565147311,282868.0,160921.48,0,0
474,CASH_IN,107619.79,C261533260,7497136.24,7604756.03,C1519842122,15539109.49,15431489.7,0,0
474,CASH_IN,138803.85,C6098691,7604756.03,7743559.88,C415848545,141204.48,2400.64,0,0
474,CASH_IN,52978.42,C519662522,7743559.88,7796538.3,C1788452089,250257.89,197279.47,0,0
474,CASH_IN,252919.24,C1338780695,7796538.3,8049457.54,C629199060,4925370.71,4672451.47,0,0
474,CASH_IN,145086.66,C1964117868,8049457.54,8194544.2,C87350512,954313.44,809226.78,0,0
474,CASH_IN,264014.33,C492778458,8194544.2,8458558.53,C252970943,8280684.65,8016670.32,0,0
474,CASH_IN,155739.8,C1219374960,8458558.53,8614298.33,C1753074370,1567985.92,1412246.12,0,0
474,CASH_IN,268288.09,C1714167526,8614298.33,8882586.42,C1671344361,1331076.08,1062787.99,0,0
474,CASH_IN,95300.81,C60822560,8882586.42,8977887.23,C125012454,693846.29,598545.48,0,0
474,CASH_IN,60170.04,C1736779373,8977887.23,9038057.27,C1979532157,402658.3,342488.26,0,0
474,CASH_IN,272233.76,C1583960130,9038057.27,9310291.03,C1343643494,643488.1,371254.34,0,0
474,CASH_IN,28512.85,C1488236103,9310291.03,9338803.88,C1888079483,2376471.17,2347958.32,0,0
